epoch,step,train_error,train_loss,val_error,val_loss
0,10,,,11279.3515625,11279.3515625
0,10,12248.2294921875,12248.2294921875,,
1,21,,,9412.732421875,9412.732421875
1,21,10328.3779296875,10328.3779296875,,
2,32,,,7867.5302734375,7867.5302734375
2,32,8658.0888671875,8658.0888671875,,
3,43,,,6562.02783203125,6562.02783203125
3,43,7230.30908203125,7230.30908203125,,
4,54,,,5454.5830078125,5454.5830078125
4,54,6026.39404296875,6026.39404296875,,
5,65,,,4533.0068359375,4533.0068359375
5,65,5009.62109375,5009.62109375,,
6,76,,,3767.779296875,3767.779296875
6,76,4169.38134765625,4169.3818359375,,
7,87,,,3143.473388671875,3143.473388671875
7,87,3461.59228515625,3461.59228515625,,
8,98,,,2625.02001953125,2625.02001953125
8,98,2878.3046875,2878.3046875,,
9,109,,,2182.780517578125,2182.780517578125
9,109,2394.503173828125,2394.503173828125,,
10,120,,,1830.452880859375,1830.452880859375
10,120,1993.2015380859375,1993.2015380859375,,
11,131,,,1541.1412353515625,1541.1412353515625
11,131,1666.3114013671875,1666.3114013671875,,
12,142,,,1301.2598876953125,1301.2598876953125
12,142,1396.62646484375,1396.62646484375,,
13,153,,,1102.6241455078125,1102.6241455078125
13,153,1177.8623046875,1177.8623046875,,
14,164,,,935.2112426757812,935.2112426757812
14,164,998.2247924804688,998.2247924804688,,
15,175,,,810.0548706054688,810.0548706054688
15,175,853.7509155273438,853.7509155273438,,
16,186,,,705.9857177734375,705.9857177734375
16,186,735.0655517578125,735.0655517578125,,
17,197,,,621.4432373046875,621.4432373046875
17,197,647.3084716796875,647.3084716796875,,
18,208,,,560.9290161132812,560.9290161132812
18,208,569.80419921875,569.80419921875,,
19,219,,,505.8216857910156,505.8217468261719
19,219,508.45361328125,508.4535827636719,,
20,230,,,462.702880859375,462.702880859375
20,230,462.96636962890625,462.96636962890625,,
21,241,,,429.3381652832031,429.3381652832031
21,241,424.4784240722656,424.4784240722656,,
22,252,,,403.5003662109375,403.5003967285156
22,252,392.29754638671875,392.29754638671875,,
23,263,,,384.85198974609375,384.8520202636719
23,263,370.16827392578125,370.16827392578125,,
24,274,,,371.4562072753906,371.4562072753906
24,274,348.5894775390625,348.5894470214844,,
25,285,,,359.16583251953125,359.16583251953125
25,285,337.35577392578125,337.3557434082031,,
26,296,,,346.8858337402344,346.8858337402344
26,296,324.2952880859375,324.2952880859375,,
27,307,,,339.74005126953125,339.74005126953125
27,307,318.08978271484375,318.0898132324219,,
28,318,,,332.7931823730469,332.7931823730469
28,318,308.4062805175781,308.4062805175781,,
29,329,,,329.0276794433594,329.0276794433594
29,329,300.88201904296875,300.88201904296875,,
30,340,,,326.1476135253906,326.1476135253906
30,340,302.4343566894531,302.4343566894531,,
31,351,,,321.3736877441406,321.3736877441406
31,351,296.1462097167969,296.1462097167969,,
32,362,,,319.01617431640625,319.01617431640625
32,362,299.138427734375,299.138427734375,,
33,373,,,319.1268005371094,319.1268005371094
33,373,292.2159729003906,292.2159729003906,,
34,384,,,316.9648132324219,316.9648132324219
34,384,289.668212890625,289.6682434082031,,
35,395,,,316.17364501953125,316.1736755371094
35,395,291.4067077636719,291.4067077636719,,
36,406,,,314.2684631347656,314.2684631347656
36,406,288.030029296875,288.0300598144531,,
37,417,,,313.7120666503906,313.7120666503906
37,417,289.2950439453125,289.2950439453125,,
38,428,,,313.7165222167969,313.7165222167969
38,428,293.4450378417969,293.4450378417969,,
39,439,,,312.6628112792969,312.662841796875
39,439,285.24725341796875,285.24725341796875,,
40,450,,,313.78839111328125,313.78839111328125
40,450,286.5193176269531,286.5193176269531,,
41,461,,,312.7330322265625,312.7330322265625
41,461,284.47967529296875,284.47967529296875,,
42,472,,,312.51043701171875,312.51043701171875
42,472,281.63531494140625,281.6352844238281,,
43,483,,,312.1315002441406,312.1315002441406
43,483,285.8650817871094,285.8650817871094,,
44,494,,,310.54632568359375,310.54632568359375
44,494,280.7582092285156,280.7582092285156,,
45,505,,,312.0586242675781,312.0586242675781
45,505,280.7591857910156,280.7591857910156,,
46,516,,,311.5035095214844,311.5035095214844
46,516,284.7441101074219,284.7441101074219,,
47,527,,,312.4927673339844,312.4927673339844
47,527,286.6640319824219,286.6640319824219,,
48,538,,,311.2792663574219,311.2792663574219
48,538,283.8614196777344,283.8614196777344,,
49,549,,,310.69158935546875,310.69158935546875
49,549,278.0907897949219,278.0907897949219,,
