epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1361,,,,,0.738175630569458,0.5823051333427429
0,1361,,,0.6306645274162292,0.6966848969459534,,
1,2723,,,,,0.7570419311523438,0.5367085933685303
1,2723,,,0.7257262468338013,0.5570534467697144,,
2,4085,,,,,0.7649906873703003,0.5046533942222595
2,4085,,,0.7432997822761536,0.5211215615272522,,
3,5447,,,,,0.7716476321220398,0.4807446599006653
3,5447,,,0.7542184591293335,0.4954254627227783,,
4,6809,,,,,0.7774760127067566,0.46312713623046875
4,6809,,,0.7625746726989746,0.4745301902294159,,
5,8171,,,,,0.782621443271637,0.44914737343788147
5,8171,,,0.76947420835495,0.4583454728126526,,
6,9533,,,,,0.7872675657272339,0.43651172518730164
6,9533,,,0.7754744291305542,0.4444562494754791,,
7,10895,,,,,0.7914620041847229,0.4267151653766632
7,10895,,,0.7807669043540955,0.4328245222568512,,
8,12257,,,,,0.7951930165290833,0.4186418652534485
8,12257,,,0.7854329943656921,0.4227007031440735,,
9,13619,,,,,0.7986123561859131,0.4109150171279907
9,13619,,,0.7895846962928772,0.41378751397132874,,
10,13620,0.8273844718933105,0.41222459077835083,,,,
