epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1361,,,,,0.7432180047035217,0.5798645615577698
0,1361,,,0.6557632684707642,0.6897693276405334,,
1,2723,,,,,0.7566522359848022,0.5329899787902832
1,2723,,,0.729121744632721,0.5529958009719849,,
2,4085,,,,,0.7650430798530579,0.5030781626701355
2,4085,,,0.7459167838096619,0.5162801742553711,,
3,5447,,,,,0.7717763781547546,0.4782603085041046
3,5447,,,0.7565476894378662,0.4892411530017853,,
4,6809,,,,,0.7779815793037415,0.459392249584198
4,6809,,,0.7649558782577515,0.4678207337856293,,
5,8171,,,,,0.7832730412483215,0.44593095779418945
5,8171,,,0.7721123695373535,0.4510479271411896,,
6,9533,,,,,0.787874698638916,0.4336298406124115
6,9533,,,0.7781783938407898,0.43796008825302124,,
7,10895,,,,,0.7918879985809326,0.4245903789997101
7,10895,,,0.7833976745605469,0.42679595947265625,,
8,12257,,,,,0.7954756021499634,0.4171091318130493
8,12257,,,0.7879953980445862,0.41745099425315857,,
9,13619,,,,,0.798721194267273,0.4101780951023102
9,13619,,,0.7920708060264587,0.4090956151485443,,
10,13620,0.8288648128509521,0.4111062288284302,,,,
