epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1361,,,,,0.5616598725318909,1.254289984703064
0,1361,,,0.4878416061401367,1.497185230255127,,
1,2723,,,,,0.6257895827293396,1.0716047286987305
1,2723,,,0.5976070761680603,1.1538602113723755,,
2,4085,,,,,0.6480181217193604,0.9689820408821106
2,4085,,,0.6400818228721619,1.0173101425170898,,
3,5447,,,,,0.6600832939147949,0.9033598899841309
3,5447,,,0.6531997323036194,0.9348737597465515,,
4,6809,,,,,0.6706339120864868,0.8575388193130493
4,6809,,,0.6649292707443237,0.879715621471405,,
5,8171,,,,,0.6781294345855713,0.8238860368728638
5,8171,,,0.6744557619094849,0.840090811252594,,
6,9533,,,,,0.6822774410247803,0.798576295375824
6,9533,,,0.6793954372406006,0.8105828762054443,,
7,10895,,,,,0.686674952507019,0.7792267799377441
7,10895,,,0.683620810508728,0.7882102727890015,,
8,12257,,,,,0.6918641924858093,0.764009952545166
8,12257,,,0.6885777115821838,0.7708922624588013,,
9,13619,,,,,0.6987143158912659,0.7516290545463562
9,13619,,,0.6942058205604553,0.7570348978042603,,
10,14981,,,,,0.7046952843666077,0.7412758469581604
10,14981,,,0.700301468372345,0.7455951571464539,,
11,16343,,,,,0.7088432312011719,0.7324466109275818
11,16343,,,0.7053616046905518,0.7359404563903809,,
12,17705,,,,,0.7115023732185364,0.7247980833053589
12,17705,,,0.7090678215026855,0.7276625037193298,,
13,19067,,,,,0.7136538028717041,0.7180837392807007
13,19067,,,0.7119249105453491,0.7204611301422119,,
14,20429,,,,,0.7154954075813293,0.7121245265007019
14,20429,,,0.7142082452774048,0.7141112089157104,,
15,21791,,,,,0.7170100212097168,0.7067939043045044
15,21791,,,0.7162363529205322,0.7084581255912781,,
16,23153,,,,,0.7184385657310486,0.7019926309585571
16,23153,,,0.7177423238754272,0.7033870816230774,,
17,24515,,,,,0.7190582156181335,0.6976476907730103
17,24515,,,0.7189872860908508,0.6988019347190857,,
18,25877,,,,,0.7197638750076294,0.6936943531036377
18,25877,,,0.7201777100563049,0.6946346759796143,,
19,27239,,,,,0.7206502556800842,0.690078616142273
19,27239,,,0.721190333366394,0.690826416015625,,
20,28601,,,,,0.7215366363525391,0.6867570281028748
20,28601,,,0.7220480442047119,0.687329113483429,,
21,29963,,,,,0.7221734523773193,0.6836899518966675
21,29963,,,0.7228512167930603,0.6841014623641968,,
22,31325,,,,,0.722818911075592,0.680842399597168
22,31325,,,0.7235339283943176,0.6811074614524841,,
23,32687,,,,,0.7233266234397888,0.6781865358352661
23,32687,,,0.724233865737915,0.6783185005187988,,
24,34049,,,,,0.7239978909492493,0.6756946444511414
24,34049,,,0.7249223589897156,0.6757044792175293,,
25,35411,,,,,0.7245572209358215,0.6733490824699402
25,35411,,,0.7253870368003845,0.6732452511787415,,
26,36773,,,,,0.725151002407074,0.6711297035217285
26,36773,,,0.7258087396621704,0.6709223389625549,,
27,38135,,,,,0.7257018089294434,0.6690228581428528
27,38135,,,0.7263910174369812,0.6687173247337341,,
28,39497,,,,,0.7263128161430359,0.6670166254043579
28,39497,,,0.7270450592041016,0.6666179895401001,,
29,40859,,,,,0.7267774939537048,0.6651009917259216
29,40859,,,0.7276331186294556,0.6646135449409485,,
30,40860,0.7254804372787476,0.6650070548057556,,,,
