epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.30106645822525024,,49,,,,
0,0.3523409366607666,,99,,,,
,,0.4475387632846832,0.0,,,0.4475387632846832,1.2055238485336304
,,,0.0,0.2921154499053955,1.3119683265686035,,
1,0.5179417729377747,,149,,,,
1,0.49753695726394653,,199,,,,
,,0.5512490272521973,1.0,,,0.5512490272521973,0.9873151779174805
,,,1.0,0.4976949691772461,1.0977329015731812,,
2,0.5863871574401855,,249,,,,
2,0.531449556350708,,299,,,,
,,0.6008313894271851,2.0,,,0.6008313894271851,0.9438018202781677
,,,2.0,0.5854926109313965,0.9365482330322266,,
3,0.647310197353363,,349,,,,
3,0.675236165523529,,399,,,,
,,0.6307716965675354,3.0,,,0.6307716965675354,0.8848956227302551
,,,3.0,0.6304735541343689,0.8488609790802002,,
4,0.7117784023284912,,449,,,,
4,0.6586261987686157,,499,,,,
4,0.7150965929031372,,549,,,,
,,0.6375831961631775,4.0,,,0.6375831961631775,0.8508883118629456
,,,4.0,0.6655895113945007,0.7849019169807434,,
5,0.6216622591018677,,599,,,,
5,0.6618443727493286,,649,,,,
,,0.6287230253219604,5.0,,,0.6287230253219604,0.8864604830741882
,,,5.0,0.6850810050964355,0.7391157746315002,,
6,0.7117646932601929,,699,,,,
6,0.7174278497695923,,749,,,,
,,0.6482057571411133,6.0,,,0.6482057571411133,0.8572209477424622
,,,6.0,0.7062166333198547,0.6950976252555847,,
7,0.711211085319519,,799,,,,
7,0.6914147734642029,,849,,,,
,,0.6463066339492798,7.0,,,0.6463066339492798,0.8690415620803833
,,,7.0,0.7309264540672302,0.6407362818717957,,
8,0.7621364593505859,,899,,,,
8,0.7927254438400269,,949,,,,
,,0.654879093170166,8.0,,,0.654879093170166,0.8694877624511719
,,,8.0,0.7550546526908875,0.5902119278907776,,
9,0.7435958385467529,,999,,,,
9,0.7597509622573853,,1049,,,,
9,0.7983112335205078,,1099,,,,
,,0.6558953523635864,9.0,,,0.6558953523635864,0.915673553943634
,,,9.0,0.777784526348114,0.5339230895042419,,
