epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25,0.0,,,0.25,1.3440771102905273
,,,0.0,0.2498726099729538,1.3550487756729126,,
1,0.25,,149,,,,
1,0.25,,199,,,,
,,0.25,1.0,,,0.25,1.3382247686386108
,,,1.0,0.25,1.3449503183364868,,
2,0.25,,249,,,,
2,0.25,,299,,,,
,,0.2587127089500427,2.0,,,0.2587127089500427,1.3095552921295166
,,,2.0,0.25,1.329838514328003,,
3,0.29363739490509033,,349,,,,
3,0.28706708550453186,,399,,,,
,,0.3427492678165436,3.0,,,0.3427492678165436,1.2914332151412964
,,,3.0,0.2922651469707489,1.2990912199020386,,
4,0.2874999940395355,,449,,,,
4,0.41043615341186523,,499,,,,
4,0.3409554958343506,,549,,,,
,,0.39538291096687317,4.0,,,0.39538291096687317,1.255306363105774
,,,4.0,0.3603596091270447,1.2700461149215698,,
5,0.35880017280578613,,599,,,,
5,0.3879200220108032,,649,,,,
,,0.4267301559448242,5.0,,,0.4267301559448242,1.2928630113601685
,,,5.0,0.4001632630825043,1.2313131093978882,,
6,0.42597681283950806,,699,,,,
6,0.4050585627555847,,749,,,,
,,0.46593326330184937,6.0,,,0.46593326330184937,1.1768311262130737
,,,6.0,0.43800535798072815,1.1882104873657227,,
7,0.48653391003608704,,799,,,,
7,0.46723392605781555,,849,,,,
,,0.43775850534439087,7.0,,,0.43775850534439087,1.152021884918213
,,,7.0,0.4710656404495239,1.1422877311706543,,
8,0.6245238184928894,,899,,,,
8,0.5293184518814087,,949,,,,
,,0.5137221813201904,8.0,,,0.5137221813201904,1.0770659446716309
,,,8.0,0.5006868839263916,1.1008532047271729,,
9,0.4175282418727875,,999,,,,
9,0.46285319328308105,,1049,,,,
9,0.5337821245193481,,1099,,,,
,,0.5361132621765137,9.0,,,0.5361132621765137,1.0499457120895386
,,,9.0,0.52784663438797,1.058652639389038,,
