epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.2592433989048004,0.0,,,0.2592433989048004,1.3182973861694336
,,,0.0,0.25337496399879456,1.3414852619171143,,
1,0.28214284777641296,,149,,,,
1,0.25,,199,,,,
,,0.25,1.0,,,0.25,1.3317773342132568
,,,1.0,0.286825567483902,1.3245757818222046,,
2,0.3192402124404907,,249,,,,
2,0.4205463230609894,,299,,,,
,,0.3700879216194153,2.0,,,0.3700879216194153,1.169260859489441
,,,2.0,0.3813199996948242,1.2478386163711548,,
3,0.44428926706314087,,349,,,,
3,0.5273809432983398,,399,,,,
,,0.39652010798454285,3.0,,,0.39652010798454285,1.177631139755249
,,,3.0,0.43890663981437683,1.1658496856689453,,
4,0.5450164079666138,,449,,,,
4,0.3866679072380066,,499,,,,
4,0.5306438207626343,,549,,,,
,,0.3353637754917145,4.0,,,0.3353637754917145,1.2204803228378296
,,,4.0,0.507997989654541,1.0604779720306396,,
5,0.5599982738494873,,599,,,,
5,0.5617536902427673,,649,,,,
,,0.5615217685699463,5.0,,,0.5615217685699463,1.0179370641708374
,,,5.0,0.5315688848495483,1.0078794956207275,,
6,0.5903408527374268,,699,,,,
6,0.566726565361023,,749,,,,
,,0.5870254635810852,6.0,,,0.5870254635810852,0.9206031560897827
,,,6.0,0.5744287371635437,0.9297413229942322,,
7,0.6142452955245972,,799,,,,
7,0.6166666746139526,,849,,,,
,,0.5202677249908447,7.0,,,0.5202677249908447,1.0767779350280762
,,,7.0,0.6063225865364075,0.8716634511947632,,
8,0.6776900887489319,,899,,,,
8,0.5907936096191406,,949,,,,
,,0.622362494468689,8.0,,,0.622362494468689,0.8603097200393677
,,,8.0,0.6226164102554321,0.8399875164031982,,
9,0.5876669883728027,,999,,,,
9,0.7343406677246094,,1049,,,,
9,0.6608362197875977,,1099,,,,
,,0.5776140093803406,9.0,,,0.5776140093803406,0.9084643721580505
,,,9.0,0.6430937051773071,0.8069037199020386,,
