epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25,0.0,,,0.25,1.3314846754074097
,,,0.0,0.25005608797073364,1.3587735891342163,,
1,0.39058440923690796,,149,,,,
1,0.42126893997192383,,199,,,,
,,0.43317344784736633,1.0,,,0.43317344784736633,1.1960766315460205
,,,1.0,0.34264758229255676,1.2723400592803955,,
2,0.49033308029174805,,249,,,,
2,0.5113896727561951,,299,,,,
,,0.4762115776538849,2.0,,,0.4762115776538849,1.1582838296890259
,,,2.0,0.46578043699264526,1.1445187330245972,,
3,0.44853925704956055,,349,,,,
3,0.4676526188850403,,399,,,,
,,0.5040966272354126,3.0,,,0.5040966272354126,1.0595669746398926
,,,3.0,0.5083610415458679,1.075373649597168,,
4,0.540654718875885,,449,,,,
4,0.46409597992897034,,499,,,,
4,0.4953084886074066,,549,,,,
,,0.525711178779602,4.0,,,0.525711178779602,1.0377975702285767
,,,4.0,0.5244989991188049,1.0358619689941406,,
5,0.538063645362854,,599,,,,
5,0.5384079217910767,,649,,,,
,,0.538684606552124,5.0,,,0.538684606552124,1.0936239957809448
,,,5.0,0.5354034304618835,1.0188698768615723,,
6,0.4966766834259033,,699,,,,
6,0.6399554014205933,,749,,,,
,,0.5329923629760742,6.0,,,0.5329923629760742,1.011506199836731
,,,6.0,0.5474069118499756,0.992772102355957,,
7,0.49769583344459534,,799,,,,
7,0.5567712783813477,,849,,,,
,,0.5197740793228149,7.0,,,0.5197740793228149,1.011870265007019
,,,7.0,0.554950475692749,0.9835603833198547,,
8,0.6433765888214111,,899,,,,
8,0.5591911673545837,,949,,,,
,,0.5303245186805725,8.0,,,0.5303245186805725,1.0125396251678467
,,,8.0,0.564155101776123,0.9676198959350586,,
9,0.5729093551635742,,999,,,,
9,0.5521103739738464,,1049,,,,
9,0.5585983395576477,,1099,,,,
,,0.5451817512512207,9.0,,,0.5451817512512207,1.017835259437561
,,,9.0,0.5634793043136597,0.9637005925178528,,
