epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.2518237233161926,,99,,,,
,,0.26861169934272766,0.0,,,0.26861169934272766,1.3146775960922241
,,,0.0,0.26757505536079407,1.3294074535369873,,
1,0.25,,149,,,,
1,0.39959028363227844,,199,,,,
,,0.3187282383441925,1.0,,,0.3187282383441925,1.3090746402740479
,,,1.0,0.3486272692680359,1.2682816982269287,,
2,0.36485424637794495,,249,,,,
2,0.4986740052700043,,299,,,,
,,0.4921865463256836,2.0,,,0.4921865463256836,1.2065019607543945
,,,2.0,0.4624110162258148,1.1411854028701782,,
3,0.5458823442459106,,349,,,,
3,0.4929298460483551,,399,,,,
,,0.5517165064811707,3.0,,,0.5517165064811707,1.068294882774353
,,,3.0,0.5505933165550232,1.0007495880126953,,
4,0.660792350769043,,449,,,,
4,0.5628306865692139,,499,,,,
4,0.6665990948677063,,549,,,,
,,0.44115903973579407,4.0,,,0.44115903973579407,1.0913251638412476
,,,4.0,0.5983559489250183,0.9071999192237854,,
5,0.6152033805847168,,599,,,,
5,0.5710784196853638,,649,,,,
,,0.6187132596969604,5.0,,,0.6187132596969604,0.940711259841919
,,,5.0,0.6310113668441772,0.8307628035545349,,
6,0.7057539224624634,,699,,,,
6,0.6036931872367859,,749,,,,
,,0.5365517735481262,6.0,,,0.5365517735481262,0.9573236107826233
,,,6.0,0.6605977416038513,0.7816389799118042,,
7,0.5440948009490967,,799,,,,
7,0.6684309244155884,,849,,,,
,,0.6127376556396484,7.0,,,0.6127376556396484,0.8365578055381775
,,,7.0,0.6761206388473511,0.7421888709068298,,
8,0.7087529301643372,,899,,,,
8,0.7172717452049255,,949,,,,
,,0.592756450176239,8.0,,,0.592756450176239,0.8671209812164307
,,,8.0,0.7040510177612305,0.6889261603355408,,
9,0.7375615835189819,,999,,,,
9,0.6859126687049866,,1049,,,,
9,0.7659814357757568,,1099,,,,
,,0.6480315327644348,9.0,,,0.6480315327644348,0.8852129578590393
,,,9.0,0.7256721258163452,0.6341572403907776,,
