epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25,0.0,,,0.25,1.339571237564087
,,,0.0,0.2509441673755646,1.3445380926132202,,
1,0.25,,149,,,,
1,0.25,,199,,,,
,,0.25,1.0,,,0.25,1.3364911079406738
,,,1.0,0.25057661533355713,1.3490867614746094,,
2,0.25,,249,,,,
2,0.37166666984558105,,299,,,,
,,0.35748806595802307,2.0,,,0.35748806595802307,1.245688557624817
,,,2.0,0.3122629225254059,1.2934556007385254,,
3,0.5281713604927063,,349,,,,
3,0.25,,399,,,,
,,0.40358656644821167,3.0,,,0.40358656644821167,1.1403549909591675
,,,3.0,0.4043218195438385,1.2092965841293335,,
4,0.41149279475212097,,449,,,,
4,0.4685786962509155,,499,,,,
4,0.454252690076828,,549,,,,
,,0.49024879932403564,4.0,,,0.49024879932403564,1.135153889656067
,,,4.0,0.4877626895904541,1.1079180240631104,,
5,0.4541666507720947,,599,,,,
5,0.5184972286224365,,649,,,,
,,0.556838870048523,5.0,,,0.556838870048523,0.9695051908493042
,,,5.0,0.5283335447311401,1.0154613256454468,,
6,0.5947656631469727,,699,,,,
6,0.5908396244049072,,749,,,,
,,0.5941154360771179,6.0,,,0.5941154360771179,0.9393062591552734
,,,6.0,0.5709756016731262,0.9482049942016602,,
7,0.5637478828430176,,799,,,,
7,0.5973991751670837,,849,,,,
,,0.5520043969154358,7.0,,,0.5520043969154358,1.0543010234832764
,,,7.0,0.5980954766273499,0.8826026916503906,,
8,0.5532036423683167,,899,,,,
8,0.6835910081863403,,949,,,,
,,0.5994929671287537,8.0,,,0.5994929671287537,0.9060667753219604
,,,8.0,0.5981317758560181,0.8976626396179199,,
9,0.6028969287872314,,999,,,,
9,0.6065057516098022,,1049,,,,
9,0.6485425233840942,,1099,,,,
,,0.5558479428291321,9.0,,,0.5558479428291321,1.1004040241241455
,,,9.0,0.6279186010360718,0.8319046497344971,,
