epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25,0.0,,,0.25,1.3703638315200806
,,,0.0,0.25,1.4349610805511475,,
1,0.25,,149,,,,
1,0.25,,199,,,,
,,0.25,1.0,,,0.25,1.3835164308547974
,,,1.0,0.25,1.3769673109054565,,
2,0.25,,249,,,,
2,0.25,,299,,,,
,,0.25,2.0,,,0.25,1.358293056488037
,,,2.0,0.25,1.3836344480514526,,
3,0.25,,349,,,,
3,0.25,,399,,,,
,,0.25,3.0,,,0.25,1.3996000289916992
,,,3.0,0.25,1.3704818487167358,,
4,0.25,,449,,,,
4,0.25,,499,,,,
4,0.25,,549,,,,
,,0.25,4.0,,,0.25,1.4282824993133545
,,,4.0,0.25,1.3786890506744385,,
5,0.25,,599,,,,
5,0.25,,649,,,,
,,0.25,5.0,,,0.25,1.3549540042877197
,,,5.0,0.25,1.3885326385498047,,
6,0.25,,699,,,,
6,0.25,,749,,,,
,,0.25,6.0,,,0.25,1.3455461263656616
,,,6.0,0.25,1.3795177936553955,,
7,0.25,,799,,,,
7,0.25,,849,,,,
,,0.25,7.0,,,0.25,1.3517990112304688
,,,7.0,0.25,1.381877064704895,,
8,0.25,,899,,,,
8,0.25,,949,,,,
,,0.25,8.0,,,0.25,1.3666335344314575
,,,8.0,0.25,1.3677396774291992,,
9,0.25,,999,,,,
9,0.25,,1049,,,,
9,0.25,,1099,,,,
,,0.25,9.0,,,0.25,1.3751741647720337
,,,9.0,0.25,1.3680603504180908,,
