epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25,0.0,,,0.25,1.3435534238815308
,,,0.0,0.25,1.3622578382492065,,
1,0.25,,149,,,,
1,0.25,,199,,,,
,,0.25,1.0,,,0.25,1.3479321002960205
,,,1.0,0.25,1.3480819463729858,,
2,0.25,,249,,,,
2,0.25,,299,,,,
,,0.25,2.0,,,0.25,1.3471451997756958
,,,2.0,0.25,1.3479787111282349,,
3,0.25,,349,,,,
3,0.25,,399,,,,
,,0.25,3.0,,,0.25,1.343616247177124
,,,3.0,0.25,1.347998857498169,,
4,0.25,,449,,,,
4,0.25,,499,,,,
4,0.25,,549,,,,
,,0.25,4.0,,,0.25,1.343876838684082
,,,4.0,0.25,1.3477370738983154,,
5,0.25,,599,,,,
5,0.25,,649,,,,
,,0.25,5.0,,,0.25,1.3465667963027954
,,,5.0,0.25,1.3474863767623901,,
6,0.25,,699,,,,
6,0.25,,749,,,,
,,0.25,6.0,,,0.25,1.346360445022583
,,,6.0,0.25,1.3475297689437866,,
7,0.25,,799,,,,
7,0.25,,849,,,,
,,0.25,7.0,,,0.25,1.3455405235290527
,,,7.0,0.25,1.348017930984497,,
8,0.25,,899,,,,
8,0.25,,949,,,,
,,0.25,8.0,,,0.25,1.3450769186019897
,,,8.0,0.25,1.3476027250289917,,
9,0.25,,999,,,,
9,0.25,,1049,,,,
9,0.25,,1099,,,,
,,0.25,9.0,,,0.25,1.3438823223114014
,,,9.0,0.25,1.3477654457092285,,
