epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25,0.0,,,0.25,1.3440707921981812
,,,0.0,0.25,1.3707329034805298,,
1,0.25,,149,,,,
1,0.25,,199,,,,
,,0.25,1.0,,,0.25,1.3451567888259888
,,,1.0,0.25,1.3484023809432983,,
2,0.25,,249,,,,
2,0.25,,299,,,,
,,0.25,2.0,,,0.25,1.3457673788070679
,,,2.0,0.25,1.3483405113220215,,
3,0.25,,349,,,,
3,0.25,,399,,,,
,,0.25,3.0,,,0.25,1.3446274995803833
,,,3.0,0.25,1.3484444618225098,,
4,0.25,,449,,,,
4,0.25,,499,,,,
4,0.25,,549,,,,
,,0.25,4.0,,,0.25,1.3487162590026855
,,,4.0,0.25,1.3483649492263794,,
5,0.25,,599,,,,
5,0.25,,649,,,,
,,0.25,5.0,,,0.25,1.3438423871994019
,,,5.0,0.25,1.3486820459365845,,
6,0.25,,699,,,,
6,0.25,,749,,,,
,,0.25,6.0,,,0.25,1.3467055559158325
,,,6.0,0.25,1.3484970331192017,,
7,0.25,,799,,,,
7,0.25,,849,,,,
,,0.25,7.0,,,0.25,1.345151662826538
,,,7.0,0.25,1.3483006954193115,,
8,0.25,,899,,,,
8,0.25,,949,,,,
,,0.25,8.0,,,0.25,1.345658302307129
,,,8.0,0.25,1.3489183187484741,,
9,0.25,,999,,,,
9,0.25,,1049,,,,
9,0.25,,1099,,,,
,,0.25,9.0,,,0.25,1.3446017503738403
,,,9.0,0.25,1.3480502367019653,,
