epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.21305134892463684,,49,,,,
0,0.2174513041973114,,99,,,,
,,0.3050476014614105,0.0,,,0.3050476014614105,1.3135312795639038
,,,0.0,0.2805200219154358,1.3541761636734009,,
1,0.34561634063720703,,149,,,,
1,0.3351619839668274,,199,,,,
,,0.3197457194328308,1.0,,,0.3197457194328308,1.30489981174469
,,,1.0,0.31645840406417847,1.3070464134216309,,
2,0.3571617305278778,,249,,,,
2,0.37875160574913025,,299,,,,
,,0.38254427909851074,2.0,,,0.38254427909851074,1.2427082061767578
,,,2.0,0.3547970652580261,1.2753509283065796,,
3,0.40378114581108093,,349,,,,
3,0.5114846229553223,,399,,,,
,,0.45420122146606445,3.0,,,0.45420122146606445,1.1556119918823242
,,,3.0,0.4315190613269806,1.197139859199524,,
4,0.4890727996826172,,449,,,,
4,0.5563796758651733,,499,,,,
4,0.49402061104774475,,549,,,,
,,0.5097932815551758,4.0,,,0.5097932815551758,1.0662651062011719
,,,4.0,0.48901665210723877,1.1080963611602783,,
5,0.5273474454879761,,599,,,,
5,0.6204330921173096,,649,,,,
,,0.5352340936660767,5.0,,,0.5352340936660767,1.0150249004364014
,,,5.0,0.5388973951339722,1.0338091850280762,,
6,0.5300269722938538,,699,,,,
6,0.5886809825897217,,749,,,,
,,0.5704686045646667,6.0,,,0.5704686045646667,0.9634889960289001
,,,6.0,0.5709272027015686,0.9713055491447449,,
7,0.5788825750350952,,799,,,,
7,0.5646716356277466,,849,,,,
,,0.5518805980682373,7.0,,,0.5518805980682373,0.9704861640930176
,,,7.0,0.5774620771408081,0.9458047747612,,
8,0.5355058312416077,,899,,,,
8,0.6619638800621033,,949,,,,
,,0.5852737426757812,8.0,,,0.5852737426757812,0.9472265243530273
,,,8.0,0.5941703915596008,0.9248825907707214,,
9,0.6309070587158203,,999,,,,
9,0.5143240094184875,,1049,,,,
9,0.5224052667617798,,1099,,,,
,,0.5924732685089111,9.0,,,0.5924732685089111,0.9275258183479309
,,,9.0,0.6123756170272827,0.8886488676071167,,
