epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.25,,99,,,,
,,0.25365278124809265,0.0,,,0.25365278124809265,1.3125202655792236
,,,0.0,0.25047221779823303,1.3398619890213013,,
1,0.32211074233055115,,149,,,,
1,0.36742228269577026,,199,,,,
,,0.31373924016952515,1.0,,,0.31373924016952515,1.2879663705825806
,,,1.0,0.2909676432609558,1.3009458780288696,,
2,0.2998737394809723,,249,,,,
2,0.3209835886955261,,299,,,,
,,0.39433321356773376,2.0,,,0.39433321356773376,1.2539652585983276
,,,2.0,0.34853416681289673,1.2698242664337158,,
3,0.28708913922309875,,349,,,,
3,0.41848576068878174,,399,,,,
,,0.3589878976345062,3.0,,,0.3589878976345062,1.2251067161560059
,,,3.0,0.4004948139190674,1.2242321968078613,,
4,0.4202621579170227,,449,,,,
4,0.47124072909355164,,499,,,,
4,0.548387348651886,,549,,,,
,,0.44052207469940186,4.0,,,0.44052207469940186,1.167746663093567
,,,4.0,0.43756794929504395,1.1845718622207642,,
5,0.4535399079322815,,599,,,,
5,0.4452381134033203,,649,,,,
,,0.46224644780158997,5.0,,,0.46224644780158997,1.1309683322906494
,,,5.0,0.4686894714832306,1.1502658128738403,,
6,0.4757743775844574,,699,,,,
6,0.4962962865829468,,749,,,,
,,0.5094428062438965,6.0,,,0.5094428062438965,1.1280758380889893
,,,6.0,0.4910757839679718,1.109545111656189,,
7,0.5421905517578125,,799,,,,
7,0.5202343463897705,,849,,,,
,,0.5311117768287659,7.0,,,0.5311117768287659,1.0755988359451294
,,,7.0,0.5143735408782959,1.0721906423568726,,
8,0.5535121560096741,,899,,,,
8,0.591576337814331,,949,,,,
,,0.5233187675476074,8.0,,,0.5233187675476074,1.1526674032211304
,,,8.0,0.5406405925750732,1.0350488424301147,,
9,0.55010986328125,,999,,,,
9,0.5612736940383911,,1049,,,,
9,0.5126126408576965,,1099,,,,
,,0.5514946579933167,9.0,,,0.5514946579933167,1.0126525163650513
,,,9.0,0.5597365498542786,0.9937108159065247,,
