epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.2628571391105652,,49,,,,
0,0.34784892201423645,,99,,,,
,,0.3771764039993286,0.0,,,0.3771764039993286,1.2720983028411865
,,,0.0,0.2751602232456207,1.327451229095459,,
1,0.4516076445579529,,149,,,,
1,0.51262366771698,,199,,,,
,,0.5435037016868591,1.0,,,0.5435037016868591,1.0360502004623413
,,,1.0,0.4671904146671295,1.1411011219024658,,
2,0.5712242126464844,,249,,,,
2,0.5971457958221436,,299,,,,
,,0.531093955039978,2.0,,,0.531093955039978,0.9906230568885803
,,,2.0,0.5576575398445129,0.9851729869842529,,
3,0.6476026773452759,,349,,,,
3,0.5699430108070374,,399,,,,
,,0.6017968654632568,3.0,,,0.6017968654632568,0.9210879802703857
,,,3.0,0.6016131043434143,0.9074313640594482,,
4,0.6888982057571411,,449,,,,
4,0.627644419670105,,499,,,,
4,0.7013102769851685,,549,,,,
,,0.5945356488227844,4.0,,,0.5945356488227844,0.9017049074172974
,,,4.0,0.6279007196426392,0.8534862995147705,,
5,0.6749023199081421,,599,,,,
5,0.6742289066314697,,649,,,,
,,0.6262132525444031,5.0,,,0.6262132525444031,0.8626552820205688
,,,5.0,0.646544873714447,0.8156751394271851,,
6,0.6515200138092041,,699,,,,
6,0.7467355728149414,,749,,,,
,,0.6338211297988892,6.0,,,0.6338211297988892,0.8545924425125122
,,,6.0,0.6650863885879517,0.7824859023094177,,
7,0.672622799873352,,799,,,,
7,0.5715005397796631,,849,,,,
,,0.6258244514465332,7.0,,,0.6258244514465332,0.853490948677063
,,,7.0,0.6806612014770508,0.7509371042251587,,
8,0.692841649055481,,899,,,,
8,0.707354724407196,,949,,,,
,,0.630448043346405,8.0,,,0.630448043346405,0.8589513897895813
,,,8.0,0.6907094717025757,0.7311191558837891,,
9,0.7024216651916504,,999,,,,
9,0.722973108291626,,1049,,,,
9,0.7523809671401978,,1099,,,,
,,0.6393413543701172,9.0,,,0.6393413543701172,0.8795269727706909
,,,9.0,0.6996991038322449,0.7072393298149109,,
10,0.7006592750549316,,1149,,,,
10,0.7509679794311523,,1199,,,,
,,0.6407268047332764,10.0,,,0.6407268047332764,0.8586297631263733
,,,10.0,0.7028110027313232,0.6987040042877197,,
11,0.7300652861595154,,1249,,,,
11,0.750516951084137,,1299,,,,
,,0.6353172063827515,11.0,,,0.6353172063827515,0.8880816698074341
,,,11.0,0.7187431454658508,0.6656573414802551,,
12,0.7929045557975769,,1349,,,,
12,0.7678458094596863,,1399,,,,
,,0.6328966617584229,12.0,,,0.6328966617584229,0.9095923900604248
,,,12.0,0.7203660011291504,0.6543260216712952,,
13,0.769629716873169,,1449,,,,
13,0.7699639797210693,,1499,,,,
13,0.7512297630310059,,1549,,,,
,,0.6204972863197327,13.0,,,0.6204972863197327,0.9223931431770325
,,,13.0,0.731113612651825,0.6378325819969177,,
14,0.7488391995429993,,1599,,,,
14,0.7743943333625793,,1649,,,,
,,0.6278083324432373,14.0,,,0.6278083324432373,0.9261640906333923
,,,14.0,0.7399517297744751,0.618262529373169,,
